,Borough,Crime Type,Count
167,Harrow,Violence Against the Person,5104
168,Havering,Arson and Criminal Damage,1437
169,Havering,Burglary,1994
170,Havering,Drug Offences,1013
171,Havering,Miscellaneous Crimes Against Society,335
172,Havering,Other Accepted Crime,2672
173,Havering,Possession of Weapons,262
174,Havering,Public Order Offences,1236
175,Havering,Robbery,767
176,Havering,Sexual Offences,517
177,Havering,Theft,4216
178,Havering,Vehicle Offences,3020
179,Havering,Violence Against the Person,5989
180,Hillingdon,Arson and Criminal Damage,2386
181,Hillingdon,Burglary,2871
182,Hillingdon,Drug Offences,1895
183,Hillingdon,Miscellaneous Crimes Against Society,388
184,Hillingdon,Other Accepted Crime,3410
185,Hillingdon,Possession of Weapons,274
186,Hillingdon,Public Order Offences,1769
187,Hillingdon,Robbery,873
188,Hillingdon,Sexual Offences,530
189,Hillingdon,Theft,5805
190,Hillingdon,Vehicle Offences,4677
191,Hillingdon,Violence Against the Person,8155
192,Hounslow,Arson and Criminal Damage,2052
193,Hounslow,Burglary,2323
194,Hounslow,Drug Offences,2398
195,Hounslow,Miscellaneous Crimes Against Society,500
196,Hounslow,Other Accepted Crime,3347
197,Hounslow,Possession of Weapons,363
198,Hounslow,Public Order Offences,1893
199,Hounslow,Robbery,815
200,Hounslow,Sexual Offences,576
201,Hounslow,Theft,5780
202,Hounslow,Vehicle Offences,4352
203,Hounslow,Violence Against the Person,8354
204,Islington,Arson and Criminal Damage,1623
205,Islington,Burglary,2800
206,Islington,Drug Offences,1865
207,Islington,Miscellaneous Crimes Against Society,445
208,Islington,Other Accepted Crime,2656
209,Islington,Possession of Weapons,418
210,Islington,Public Order Offences,1984
211,Islington,Robbery,1665
212,Islington,Sexual Offences,673
213,Islington,Theft,10992
214,Islington,Vehicle Offences,3234
215,Islington,Violence Against the Person,7086
216,Kensington and Chelsea,Arson and Criminal Damage,1118
217,Kensington and Chelsea,Burglary,2222
218,Kensington and Chelsea,Drug Offences,1808
219,Kensington and Chelsea,Miscellaneous Crimes Against Society,205
220,Kensington and Chelsea,Other Accepted Crime,1602
221,Kensington and Chelsea,Possession of Weapons,221
222,Kensington and Chelsea,Public Order Offences,1357
223,Kensington and Chelsea,Robbery,1038
224,Kensington and Chelsea,Sexual Offences,405
225,Kensington and Chelsea,Theft,9817
226,Kensington and Chelsea,Vehicle Offences,3959
227,Kensington and Chelsea,Violence Against the Person,4661
228,Kingston upon Thames,Arson and Criminal Damage,993
229,Kingston upon Thames,Burglary,1060
230,Kingston upon Thames,Drug Offences,1233
231,Kingston upon Thames,Miscellaneous Crimes Against Society,209
232,Kingston upon Thames,Other Accepted Crime,1472
233,Kingston upon Thames,Possession of Weapons,138
234,Kingston upon Thames,Public Order Offences,982
235,Kingston upon Thames,Robbery,393
236,Kingston upon Thames,Sexual Offences,394
237,Kingston upon Thames,Theft,3657
238,Kingston upon Thames,Vehicle Offences,1518
239,Kingston upon Thames,Violence Against the Person,3835
240,Lambeth,Arson and Criminal Damage,2272
241,Lambeth,Burglary,3334
242,Lambeth,Drug Offences,3400
243,Lambeth,Miscellaneous Crimes Against Society,615
244,Lambeth,Other Accepted Crime,3334
