Borough,Crime Type,Count,Adjusted crime types per 1000 population,Population
Greenwich,Drug Offences,1768,6.140125442,"287,942"
Greenwich,Miscellaneous Crimes Against Society,531,1.844121386,"287,942"
Greenwich,Other Accepted Crime,3318,11.52315397,"287,942"
Greenwich,Possession of Weapons,412,1.430843712,"287,942"
Greenwich,Public Order Offences,1997,6.935424495,"287,942"
Greenwich,Robbery,907,3.149939918,"287,942"
Greenwich,Sexual Offences,845,2.934618777,"287,942"
Greenwich,Theft,5929,20.59095234,"287,942"
Greenwich,Vehicle Offences,4747,16.48595898,"287,942"
Greenwich,Violence Against the Person,8945,31.06528398,"287,942"
Hackney,Arson and Criminal Damage,1949,6.932982356,"281,120"
Hackney,Burglary,3528,12.5498008,"281,120"
Hackney,Drug Offences,2411,8.576408651,"281,120"
Hackney,Miscellaneous Crimes Against Society,388,1.380193512,"281,120"
Hackney,Other Accepted Crime,3056,10.8708025,"281,120"
Hackney,Possession of Weapons,533,1.895987479,"281,120"
Hackney,Public Order Offences,2120,7.541263517,"281,120"
Hackney,Robbery,2177,7.744023904,"281,120"
Hackney,Sexual Offences,756,2.689243028,"281,120"
Hackney,Theft,10945,38.93355151,"281,120"
Hackney,Vehicle Offences,3820,13.58850313,"281,120"
Hackney,Violence Against the Person,8473,30.14015367,"281,120"
Hammersmith and Fulham,Arson and Criminal Damage,1448,7.82098162,"185,143"
Hammersmith and Fulham,Burglary,1972,10.65122635,"185,143"
Hammersmith and Fulham,Drug Offences,1560,8.425919424,"185,143"
Hammersmith and Fulham,Miscellaneous Crimes Against Society,374,2.02006017,"185,143"
Hammersmith and Fulham,Other Accepted Crime,2674,14.44289009,"185,143"
Hammersmith and Fulham,Possession of Weapons,259,1.398918674,"185,143"
Hammersmith and Fulham,Public Order Offences,1722,9.300918749,"185,143"
Hammersmith and Fulham,Robbery,941,5.082557807,"185,143"
Hammersmith and Fulham,Sexual Offences,556,3.003084103,"185,143"
Hammersmith and Fulham,Theft,7099,38.34333461,"185,143"
Hammersmith and Fulham,Vehicle Offences,3523,19.0285347,"185,143"
Hammersmith and Fulham,Violence Against the Person,6167,33.30938788,"185,143"
Haringey,Arson and Criminal Damage,1955,7.277207637,"268,647"
Haringey,Burglary,2952,10.98839741,"268,647"
Haringey,Drug Offences,2202,8.196629778,"268,647"
Haringey,Miscellaneous Crimes Against Society,472,1.756952432,"268,647"
Haringey,Other Accepted Crime,2996,11.15218111,"268,647"
Haringey,Possession of Weapons,467,1.738340648,"268,647"
Haringey,Public Order Offences,1894,7.050143869,"268,647"
Haringey,Robbery,2739,10.19553541,"268,647"
Haringey,Sexual Offences,765,2.847602988,"268,647"
Haringey,Theft,7412,27.59010895,"268,647"
Haringey,Vehicle Offences,5568,20.72608293,"268,647"
Haringey,Violence Against the Person,8347,31.07051261,"268,647"
Harrow,Arson and Criminal Damage,1160,4.618569836,"251,160"
Harrow,Burglary,2129,8.476668259,"251,160"
Harrow,Drug Offences,1097,4.367733716,"251,160"
Harrow,Miscellaneous Crimes Against Society,228,0.907787864,"251,160"
Harrow,Other Accepted Crime,2151,8.564261825,"251,160"
Harrow,Possession of Weapons,139,0.553432075,"251,160"
