1.109915863,118
1.204119983,93
1.199755177,86
1.152594078,110
1.265053789,90
1.282622113,166
1.190611798,108
1.163459552,113
1.135768515,109
1.200029267,120
1.213252052,143
1.296226287,153
1.20790353,141
1.223495941,83
1.18582536,90
1.159567193,108
1.166430114,121
1.292034436,146
1.324899497,182
1.256477206,89
1.242292905,133
1.185542155,115
1.219584526,85
1.142702246,127
1.18582536,94
1.300595484,76
1.236537261,145
1.208978517,81
1.282168778,131
1.188647296,105
1.311753861,94
